Type,Size,Price,Time
Dynamic,4,4560,340
Greedy,8,3975,2
Dynamic,8,3975,604
Greedy,12,4579,3
Dynamic,12,4579,1001
Greedy,16,4481,3
Dynamic,16,4481,1331
Greedy,20,3789,5
Dynamic,20,3789,1365
Greedy,30,1330,7
Dynamic,30,1330,664
Greedy,40,8419,11
Dynamic,40,8419,6234
Greedy,50,8038,14
Dynamic,50,8038,7417
Greedy,60,8925,31
Dynamic,60,8925,11406
Greedy,70,796,20
Dynamic,70,796,900
Greedy,80,6898,24
Dynamic,80,6898,11612
Greedy,90,6332,29
Dynamic,90,6332,11972
Greedy,100,2,29
Dynamic,100,2,3
Greedy,120,8242,37
Dynamic,120,8242,20793
Greedy,140,2131,42
Dynamic,140,2131,5832
Greedy,160,4456,48
Dynamic,160,4456,14076
Greedy,180,2424,46
Dynamic,180,2424,7256
Greedy,200,4205,72
Dynamic,200,4205,14611
Greedy,4,4953,1
Dynamic,4,4953,343
Greedy,8,4125,2
Dynamic,8,4125,544
Greedy,12,2753,2
Dynamic,12,2753,578
Greedy,16,837,3
Dynamic,16,837,212
Greedy,20,4096,4
Dynamic,20,4096,1370
Greedy,30,445,5
Dynamic,30,445,161
Greedy,40,3136,9
Dynamic,40,3136,1984
Greedy,50,9945,13
Dynamic,50,9945,9373
Greedy,60,9767,16
Dynamic,60,9767,10900
Greedy,70,6605,18
Dynamic,70,6605,8513
Greedy,80,620,19
Dynamic,80,620,654
Greedy,90,1226,24
Dynamic,90,1226,1795
Greedy,100,1440,25
Dynamic,100,1440,2356
Greedy,120,4003,32
Dynamic,120,4003,8666
Greedy,140,2937,36
Dynamic,140,2937,7304
Greedy,160,5523,44
Dynamic,160,5523,16282
Greedy,180,4532,50
Dynamic,180,4532,14882
Greedy,200,6173,57
Dynamic,200,6173,22778
Greedy,4,8341,3
Dynamic,4,8341,1010
Greedy,8,1365,2
Dynamic,8,1365,284
Greedy,12,6445,4
Dynamic,12,6445,2375
Greedy,16,6485,5
Dynamic,16,6485,3015
Greedy,20,5419,8
Dynamic,20,5419,3137
Greedy,30,5551,12
Dynamic,30,5551,4031
Greedy,40,3389,12
Dynamic,40,3389,3045
Greedy,50,7074,13
Dynamic,50,7074,6847
Greedy,60,7171,14
Dynamic,60,7171,7086
Greedy,70,6918,15
Dynamic,70,6918,7701
Greedy,80,6895,18
Dynamic,80,6895,8723
Greedy,90,26,20
Dynamic,90,26,21
Greedy,100,5774,22
Dynamic,100,5774,9216
Greedy,120,4431,27
Dynamic,120,4431,8287
Greedy,140,9698,33
Dynamic,140,9698,21901
Greedy,160,2410,37
Dynamic,160,2410,5814
Greedy,180,6176,43
Dynamic,180,6176,17752
Greedy,200,4225,49
Dynamic,200,4225,13207
Greedy,4,6588,1
Dynamic,4,6588,553
Greedy,8,628,2
Dynamic,8,628,83
Greedy,12,3583,3
Dynamic,12,3583,868
Greedy,16,3675,3
Dynamic,16,3675,1219
Greedy,20,9084,5
Dynamic,20,9084,3714
Greedy,30,5982,9
Dynamic,30,5982,3587
Greedy,40,1687,10
Dynamic,40,1687,1229
Greedy,50,6102,14
Dynamic,50,6102,6082
Greedy,60,4601,16
Dynamic,60,4601,5433
Greedy,70,750,18
Dynamic,70,750,858
Greedy,80,384,21
Dynamic,80,384,389
Greedy,90,6511,26
Dynamic,90,6511,11807
Greedy,100,2406,28
Dynamic,100,2406,4612
Greedy,120,5107,34
Dynamic,120,5107,11999
Greedy,140,2401,36
Dynamic,140,2401,5406
Greedy,160,7366,39
Dynamic,160,7366,18724
Greedy,180,6094,42
Dynamic,180,6094,17476
Greedy,200,1115,46
Dynamic,200,1115,3028
