Greedy,4,1000,4
Dynamic,4,1000,207
Greedy,8,1000,4
Dynamic,8,1000,332
Greedy,12,1000,6
Dynamic,12,1000,427
Greedy,16,1000,8
Dynamic,16,1000,680
Greedy,20,1000,9
Dynamic,20,1000,697
Greedy,30,1000,15
Dynamic,30,1000,1101
Greedy,40,1000,20
Dynamic,40,1000,1325
Greedy,50,1000,26
Dynamic,50,1000,1542
Greedy,60,1000,28
Dynamic,60,1000,2015
Greedy,70,1000,34
Dynamic,70,1000,2123
Greedy,80,1000,36
Dynamic,80,1000,2329
Greedy,90,1000,40
Dynamic,90,1000,2487
Greedy,100,1000,41
Dynamic,100,1000,2757
Greedy,120,1000,54
Dynamic,120,1000,3231
Greedy,140,1000,57
Dynamic,140,1000,3732
Greedy,160,1000,68
Dynamic,160,1000,4088
Greedy,180,1000,82
Dynamic,180,1000,4646
Greedy,200,1000,89
Dynamic,200,1000,5176
